time strain
0.025187996 -9.384827699999999e-22
0.025232894 -9.3798352e-22
0.025277793 -9.3746472e-22
0.025322691 -9.369370199999999e-22
0.025367589 -9.3642091e-22
0.025412488 -9.3589272e-22
0.025457386 -9.353569099999999e-22
0.025502285 -9.3482331e-22
0.025547183 -9.3429731e-22
0.025592081 -9.337693800000002e-22
0.02563698 -9.332223199999999e-22
0.025681878 -9.3266879e-22
0.025726777 -9.321164099999999e-22
0.025771675 -9.3157276e-22
0.025816573 -9.3103391e-22
0.025861472 -9.3049265e-22
0.02590637 -9.299476900000002e-22
0.025951269 -9.294018199999999e-22
0.025996167 -9.288562e-22
0.026041065 -9.2831051e-22
0.026085964 -9.277624699999999e-22
0.026130862 -9.272116499999999e-22
0.02617576 -9.2665882e-22
0.026220659 -9.261076999999999e-22
0.026265557 -9.255566899999999e-22
0.026310456 -9.2500259e-22
0.026355354 -9.2444453e-22
0.026400252 -9.238852599999999e-22
0.026445151 -9.233276e-22
0.026490049 -9.227706299999999e-22
0.026534948 -9.222145700000002e-22
0.026579846 -9.2165727e-22
0.026624744 -9.210979999999999e-22
0.026669643 -9.2053671e-22
0.026714541 -9.199735e-22
0.02675944 -9.1940959e-22
0.026804338 -9.1884577e-22
0.026849236 -9.1828352e-22
0.026894135 -9.177222099999999e-22
0.026939033 -9.1716335e-22
0.026983931 -9.1660823e-22
0.02702883 -9.1605737e-22
0.027073728 -9.155086099999999e-22
0.027118627 -9.1495989e-22
0.027163525 -9.144116699999999e-22
0.027208423 -9.138622e-22
0.027253322 -9.133115699999999e-22
0.02729822 -9.1275918e-22
0.027343119 -9.1220568e-22
0.027388017 -9.1165149e-22
0.027432915 -9.110966099999999e-22
0.027477814 -9.1054182e-22
0.027522712 -9.0998606e-22
0.027567611 -9.094305099999999e-22
0.027612509 -9.0887313e-22
0.027657407 -9.0831305e-22
0.027702306 -9.077511e-22
0.027747204 -9.071861899999999e-22
0.027792102 -9.0661873e-22
0.027837001 -9.0604886e-22
0.027881899 -9.0547675e-22
0.027926798 -9.049033500000002e-22
0.027971696 -9.0433086e-22
0.028016594 -9.037579400000002e-22
0.028061493 -9.031847600000002e-22
0.028106391 -9.026104e-22
0.02815129 -9.020347e-22
0.028196188 -9.014581e-22
0.028241086 -9.0088042e-22
0.028285985 -9.003008599999999e-22
0.028330883 -8.997168199999999e-22
0.028375782 -8.991293699999998e-22
0.02842068 -8.985388000000001e-22
0.028465578 -8.9794419e-22
0.028510477 -8.973472599999998e-22
0.028555375 -8.9674918e-22
0.028600273 -8.961514399999998e-22
0.028645172 -8.955519799999998e-22
0.02869007 -8.949502799999998e-22
0.028734969 -8.943465299999999e-22
0.028779867 -8.9374091e-22
0.028824765 -8.9313271e-22
0.028869664 -8.925233999999998e-22
0.028914562 -8.919137e-22
0.028959461 -8.913043599999999e-22
0.029004359 -8.906945499999998e-22
0.029049257 -8.900845e-22
0.029094156 -8.894759e-22
0.029139054 -8.888714299999999e-22
0.029183953 -8.882726499999998e-22
0.029228851 -8.876771399999999e-22
0.029273749 -8.8708283e-22
0.029318648 -8.864889800000001e-22
0.029363546 -8.858952099999999e-22
0.029408444 -8.853002200000001e-22
0.029453343 -8.847044499999998e-22
0.029498241 -8.841080199999998e-22
0.02954314 -8.8351089e-22
0.029588038 -8.829114800000001e-22
0.029632936 -8.823099899999999e-22
0.029677835000000007 -8.8170767e-22
0.029722733 -8.811047500000001e-22
0.029767632 -8.805015399999999e-22
0.02981253 -8.798958200000001e-22
0.029857428 -8.792878899999998e-22
0.029902327 -8.7867736e-22
0.029947225 -8.7806349e-22
0.029992124 -8.774473399999999e-22
0.030037022 -8.7682883e-22
0.03008192 -8.762079e-22
0.030126819 -8.755842299999998e-22
0.030171717 -8.749569999999999e-22
0.030216615 -8.7432509e-22
0.030261514 -8.736885300000001e-22
0.030306412 -8.7304931e-22
0.030351311 -8.7241023e-22
0.030396209 -8.717737399999997e-22
0.030441107 -8.711401899999998e-22
0.030486006 -8.705073199999999e-22
0.030530904 -8.698721699999997e-22
0.030575803 -8.692354800000001e-22
0.030620701 -8.685949200000001e-22
0.030665599 -8.679535999999998e-22
0.030710498 -8.6730979e-22
0.030755396 -8.666537900000001e-22
0.030800294 -8.6597583e-22
0.030845193 -8.652798499999999e-22
0.030890091 -8.645935199999998e-22
0.03093499 -8.639314e-22
0.030979888 -8.632875899999999e-22
0.031024786 -8.626465199999997e-22
0.031069685 -8.620037499999999e-22
0.031114583 -8.6136181e-22
0.031159482 -8.607199e-22
0.03120438 -8.600775e-22
0.031249278 -8.594345599999998e-22
0.031294177 -8.587906700000001e-22
0.031339075 -8.5814515e-22
0.031383973999999995 -8.574982399999998e-22
0.031428872 -8.5684856e-22
0.03147377 -8.561965299999997e-22
0.031518669 -8.555430299999999e-22
0.031563567 -8.5488846e-22
0.031608465 -8.542348399999998e-22
0.031653364 -8.535849699999998e-22
0.031698262 -8.5293844e-22
0.031743161 -8.522948999999998e-22
0.031788059 -8.516532000000001e-22
0.031832957 -8.510129999999997e-22
0.031877856 -8.503727499999998e-22
0.031922754000000005 -8.497311099999999e-22
0.031967653 -8.490893299999998e-22
0.032012551 -8.4844802e-22
0.032057449 -8.478067299999998e-22
0.032102347999999996 -8.471658599999999e-22
0.032147246000000004 -8.4652512e-22
0.032192145 -8.458840999999999e-22
0.032237043 -8.4524348e-22
0.032281941 -8.44603e-22
0.032326839999999996 -8.439622799999999e-22
0.032371738 -8.433194099999999e-22
0.032416636 -8.426738499999999e-22
0.032461535 -8.4202605999999995e-22
0.032506433 -8.4137559999999995e-22
0.032551332 -8.4072284e-22
0.03259623 -8.400687e-22
0.032641128000000005 -8.3941438e-22
0.032686027 -8.387600400000001e-22
0.032730925 -8.381047799999998e-22
0.032775824 -8.3744802e-22
0.032820722000000004 -8.367908199999998e-22
0.03286562 -8.361327699999998e-22
0.032910519 -8.3547377e-22
0.032955416999999994 -8.3481385e-22
0.033000315999999995 -8.3415322e-22
0.033045214 -8.334932799999999e-22
0.033090112 -8.328335599999998e-22
